indice_tiempo,region_de_destino,categoria_del_hotel,tasa_de_ocupacion_plazas,observaciones
2012-09-01,Cuyo,1 y 2 estrellas,0.22,""
2012-09-01,Cuyo,3 estrellas/boutiques/aparts,0.3,""
2012-09-01,Cuyo,4 y 5 estrellas,0.38,""
2012-09-01,Cuyo,Para Hoteles,0.17,""
2012-09-01,Cuyo,Total,0.26,""
2012-09-01,Córdoba,1 y 2 estrellas,0.22,""
2012-09-01,Córdoba,3 estrellas/boutiques/aparts,0.29,""
2012-09-01,Córdoba,4 y 5 estrellas,0.42,""
2012-09-01,Córdoba,Para Hoteles,0.13,""
2012-09-01,Córdoba,Total,0.22,""
2012-09-01,Litoral,1 y 2 estrellas,0.28,""
2012-09-01,Litoral,3 estrellas/boutiques/aparts,0.37,""
2012-09-01,Litoral,4 y 5 estrellas,0.41,""
2012-09-01,Litoral,Para Hoteles,0.22,""
2012-09-01,Litoral,Total,0.33,""
2012-09-01,Norte,1 y 2 estrellas,0.22,""
2012-09-01,Norte,3 estrellas/boutiques/aparts,0.32,""
2012-09-01,Norte,4 y 5 estrellas,0.43,""
2012-09-01,Norte,Para Hoteles,0.2,""
2012-09-01,Norte,Total,0.27,""
2012-09-01,Patagonia,1 y 2 estrellas,0.48,""
2012-09-01,Patagonia,3 estrellas/boutiques/aparts,0.39,""
2012-09-01,Patagonia,4 y 5 estrellas,0.47,""
2012-09-01,Patagonia,Para Hoteles,0.22,""
2012-09-01,Patagonia,Total,0.37,""
2012-10-01,Buenos Aires,1 y 2 estrellas,0.15,""
2012-10-01,Buenos Aires,3 estrellas/boutiques/aparts,0.17,""
2012-10-01,Buenos Aires,4 y 5 estrellas,0.25,""
2012-10-01,Buenos Aires,Para Hoteles,0.21,""
2012-10-01,Buenos Aires,Total,0.2,""
2012-10-01,CABA,1 y 2 estrellas,0.41,""
2012-10-01,CABA,3 estrellas/boutiques/aparts,0.47,""
2012-10-01,CABA,4 y 5 estrellas,0.51,""
2012-10-01,CABA,Para Hoteles,0.33,""
2012-10-01,CABA,Total,0.45,""
2012-10-01,Cuyo,1 y 2 estrellas,0.27,""
2012-10-01,Cuyo,3 estrellas/boutiques/aparts,0.3,""
2012-10-01,Cuyo,4 y 5 estrellas,0.37,""
2012-10-01,Cuyo,Para Hoteles,0.2,""
2012-10-01,Cuyo,Total,0.28,""
2012-10-01,Córdoba,1 y 2 estrellas,0.25,""
2012-10-01,Córdoba,3 estrellas/boutiques/aparts,0.33,""
2012-10-01,Córdoba,4 y 5 estrellas,0.4,""
2012-10-01,Córdoba,Para Hoteles,0.16,""
2012-10-01,Córdoba,Total,0.25,""
2012-10-01,Litoral,1 y 2 estrellas,0.28,""
2012-10-01,Litoral,3 estrellas/boutiques/aparts,0.37,""
2012-10-01,Litoral,4 y 5 estrellas,0.44,""
2012-10-01,Litoral,Para Hoteles,0.25,""
2012-10-01,Litoral,Total,0.34,""
2012-10-01,Norte,1 y 2 estrellas,0.23,""
2012-10-01,Norte,3 estrellas/boutiques/aparts,0.31,""
2012-10-01,Norte,4 y 5 estrellas,0.43,""
2012-10-01,Norte,Para Hoteles,0.18,""
2012-10-01,Norte,Total,0.27,""
2012-10-01,Patagonia,1 y 2 estrellas,0.41,""
2012-10-01,Patagonia,3 estrellas/boutiques/aparts,0.35,""
2012-10-01,Patagonia,4 y 5 estrellas,0.36,""
2012-10-01,Patagonia,Para Hoteles,0.19,""
2012-10-01,Patagonia,Total,0.31,""
2012-11-01,Buenos Aires,1 y 2 estrellas,0.2,""
2012-11-01,Buenos Aires,3 estrellas/boutiques/aparts,0.27,""
2012-11-01,Buenos Aires,4 y 5 estrellas,0.38,""
2012-11-01,Buenos Aires,Para Hoteles,0.24,""
2012-11-01,Buenos Aires,Total,0.25,""
2012-11-01,CABA,1 y 2 estrellas,0.46,""
2012-11-01,CABA,3 estrellas/boutiques/aparts,0.51,""
2012-11-01,CABA,4 y 5 estrellas,0.56,""
2012-11-01,CABA,Para Hoteles,0.35,""
2012-11-01,CABA,Total,0.49,""
2012-11-01,Cuyo,1 y 2 estrellas,0.22,""
2012-11-01,Cuyo,3 estrellas/boutiques/aparts,0.29,""
2012-11-01,Cuyo,4 y 5 estrellas,0.37,""
2012-11-01,Cuyo,Para Hoteles,0.19,""
2012-11-01,Cuyo,Total,0.27,""
2012-11-01,Córdoba,1 y 2 estrellas,0.26,""
2012-11-01,Córdoba,3 estrellas/boutiques/aparts,0.36,""
2012-11-01,Córdoba,4 y 5 estrellas,0.44,""
2012-11-01,Córdoba,Para Hoteles,0.13,""
2012-11-01,Córdoba,Total,0.25,""
2012-11-01,Litoral,1 y 2 estrellas,0.29,""
2012-11-01,Litoral,3 estrellas/boutiques/aparts,0.35,""
2012-11-01,Litoral,4 y 5 estrellas,0.46,""
2012-11-01,Litoral,Para Hoteles,0.25,""
2012-11-01,Litoral,Total,0.34,""
2012-11-01,Norte,1 y 2 estrellas,0.2,""
2012-11-01,Norte,3 estrellas/boutiques/aparts,0.29,""
2012-11-01,Norte,4 y 5 estrellas,0.34,""
2012-11-01,Norte,Para Hoteles,0.17,""
2012-11-01,Norte,Total,0.24,""
2012-11-01,Patagonia,1 y 2 estrellas,0.29,""
2012-11-01,Patagonia,3 estrellas/boutiques/aparts,0.36,""
2012-11-01,Patagonia,4 y 5 estrellas,0.43,""
2012-11-01,Patagonia,Para Hoteles,0.23,""
2012-11-01,Patagonia,Total,0.32,""
2012-12-01,Buenos Aires,1 y 2 estrellas,0.19,""
2012-12-01,Buenos Aires,3 estrellas/boutiques/aparts,0.29,""
2012-12-01,Buenos Aires,4 y 5 estrellas,0.35,""
2012-12-01,Buenos Aires,Para Hoteles,0.28,""
2012-12-01,Buenos Aires,Total,0.27,""
2012-12-01,CABA,1 y 2 estrellas,0.35,""
2012-12-01,CABA,3 estrellas/boutiques/aparts,0.42,""
2012-12-01,CABA,4 y 5 estrellas,0.47,""
2012-12-01,CABA,Para Hoteles,0.33,""
2012-12-01,CABA,Total,0.41,""
2012-12-01,Cuyo,1 y 2 estrellas,0.18,""
2012-12-01,Cuyo,3 estrellas/boutiques/aparts,0.24,""
2012-12-01,Cuyo,4 y 5 estrellas,0.26,""
2012-12-01,Cuyo,Para Hoteles,0.16,""
2012-12-01,Cuyo,Total,0.21,""
2012-12-01,Córdoba,1 y 2 estrellas,0.25,""
2012-12-01,Córdoba,3 estrellas/boutiques/aparts,0.36,""
2012-12-01,Córdoba,4 y 5 estrellas,0.37,""
2012-12-01,Córdoba,Para Hoteles,0.14,""
2012-12-01,Córdoba,Total,0.24,""
2012-12-01,Litoral,1 y 2 estrellas,0.27,""
2012-12-01,Litoral,3 estrellas/boutiques/aparts,0.28,""
2012-12-01,Litoral,4 y 5 estrellas,0.36,""
2012-12-01,Litoral,Para Hoteles,0.19,""
2012-12-01,Litoral,Total,0.28,""
2012-12-01,Norte,1 y 2 estrellas,0.14,""
2012-12-01,Norte,3 estrellas/boutiques/aparts,0.18,""
2012-12-01,Norte,4 y 5 estrellas,0.22,""
2012-12-01,Norte,Para Hoteles,0.15,""
2012-12-01,Norte,Total,0.17,""
2012-12-01,Patagonia,1 y 2 estrellas,0.42,""
2012-12-01,Patagonia,3 estrellas/boutiques/aparts,0.31,""
2012-12-01,Patagonia,4 y 5 estrellas,0.36,""
2012-12-01,Patagonia,Para Hoteles,0.27,""
2012-12-01,Patagonia,Total,0.33,""
2013-01-01,Buenos Aires,1 y 2 estrellas,0.55,""
2013-01-01,Buenos Aires,3 estrellas/boutiques/aparts,0.61,""
2013-01-01,Buenos Aires,4 y 5 estrellas,0.59,""
2013-01-01,Buenos Aires,Para Hoteles,0.58,""
2013-01-01,Buenos Aires,Total,0.58,""
2013-01-01,CABA,1 y 2 estrellas,0.29,""
2013-01-01,CABA,3 estrellas/boutiques/aparts,0.36,""
2013-01-01,CABA,4 y 5 estrellas,0.41,""
2013-01-01,CABA,Para Hoteles,0.3,""
2013-01-01,CABA,Total,0.36,""
2013-01-01,Cuyo,1 y 2 estrellas,0.23,""
2013-01-01,Cuyo,3 estrellas/boutiques/aparts,0.42,""
2013-01-01,Cuyo,4 y 5 estrellas,0.4,""
2013-01-01,Cuyo,Para Hoteles,0.29,""
2013-01-01,Cuyo,Total,0.34,""
